seed,model,noise_type,level,accuracy,f1_Immune,f1_Stromal,f1_Tumour,conf_correct,conf_wrong
46,resnet50,blur,0.0,0.6766666666666666,0.6022099447513812,0.5829145728643216,0.8227272727272728,0.6363807,0.53978795
46,resnet50,blur,1.0,0.49333333333333335,0.6064516129032258,0.43683083511777304,0.39552238805970147,0.4429969,0.40546647
46,resnet50,blur,2.0,0.4166666666666667,0.4831168831168831,0.42413162705667273,0.30597014925373134,0.41172832,0.40317017
46,resnet50,blur,4.0,0.395,0.136,0.46678023850085176,0.4573002754820937,0.44719288,0.44430584
46,resnet50,blur,8.0,0.45166666666666666,0.08733624454148471,0.4943820224719101,0.5741444866920152,0.52201384,0.51099855
46,resnet50,mask_random,0.0,0.6766666666666666,0.6022099447513812,0.5829145728643216,0.8227272727272728,0.6363807,0.53978795
46,resnet50,mask_random,0.25,0.36333333333333334,0.018604651162790697,0.413265306122449,0.45531197301854975,0.4363133,0.43757477
46,resnet50,mask_random,0.5,0.2966666666666667,0.0,0.3244444444444444,0.38181818181818183,0.5592688,0.56749296
46,resnet50,mask_random,0.75,0.30666666666666664,0.0,0.3617021276595745,0.37358490566037733,0.4738991,0.48563015
46,resnet50,mask_centre,0.0,0.6766666666666666,0.6022099447513812,0.5829145728643216,0.8227272727272728,0.6363807,0.53978795
46,resnet50,mask_centre,0.3,0.6816666666666666,0.5579937304075235,0.6431924882629108,0.8043956043956044,0.57019794,0.49778557
46,resnet50,mask_centre,0.5,0.5933333333333334,0.24472573839662448,0.6101010101010101,0.7521367521367521,0.49904436,0.44310895
46,resnet50,mask_centre,0.7,0.46166666666666667,0.0,0.5366726296958855,0.5759637188208617,0.43116122,0.4196577
46,resnet50,mask_edge,1.0,0.6766666666666666,0.6022099447513812,0.5829145728643216,0.8227272727272728,0.6363807,0.53978795
46,resnet50,mask_edge,0.7,0.6283333333333333,0.4507042253521127,0.5818181818181818,0.7773109243697479,0.52494377,0.46047673
46,resnet50,mask_edge,0.5,0.5083333333333333,0.038834951456310676,0.5378151260504201,0.667953667953668,0.48286003,0.43625963
46,resnet50,mask_edge,0.3,0.3333333333333333,0.0,0.0,0.5,0.5197888,0.5191216
46,vit_small_patch16_224,blur,0.0,0.6933333333333334,0.5625,0.6407322654462243,0.8397291196388262,0.7261941,0.62352175
46,vit_small_patch16_224,blur,1.0,0.695,0.6441558441558441,0.6268656716417911,0.8087167070217918,0.71692497,0.6058414
46,vit_small_patch16_224,blur,2.0,0.63,0.6361556064073226,0.5672371638141809,0.6949152542372882,0.64460886,0.5577973
46,vit_small_patch16_224,blur,4.0,0.3933333333333333,0.038834951456310676,0.5222222222222223,0.32116788321167883,0.599917,0.5699855
46,vit_small_patch16_224,blur,8.0,0.305,0.1503267973856209,0.38263665594855306,0.3014705882352941,0.44901383,0.45910916
46,vit_small_patch16_224,mask_random,0.0,0.6933333333333334,0.5625,0.6407322654462243,0.8397291196388262,0.7261941,0.62352175
46,vit_small_patch16_224,mask_random,0.25,0.31666666666666665,0.44803695150115475,0.328042328042328,0.0,0.5281504,0.5457169
46,vit_small_patch16_224,mask_random,0.5,0.30333333333333334,0.49770992366412214,0.11014492753623188,0.0,0.57003736,0.55344546
46,vit_small_patch16_224,mask_random,0.75,0.30666666666666664,0.4258064516129032,0.2736842105263158,0.0,0.47884402,0.48196962
46,vit_small_patch16_224,mask_centre,0.0,0.6933333333333334,0.5625,0.6407322654462243,0.8397291196388262,0.7261941,0.62352175
46,vit_small_patch16_224,mask_centre,0.3,0.685,0.6128133704735376,0.6058981233243967,0.8034188034188035,0.72355914,0.6165319
46,vit_small_patch16_224,mask_centre,0.5,0.6666666666666666,0.6265664160401002,0.536144578313253,0.7931769722814499,0.67902887,0.590519
46,vit_small_patch16_224,mask_centre,0.7,0.6533333333333333,0.5730659025787965,0.595,0.7671840354767184,0.6682319,0.57141215
46,vit_small_patch16_224,mask_edge,1.0,0.6933333333333334,0.5625,0.6407322654462243,0.8397291196388262,0.7261941,0.62352175
46,vit_small_patch16_224,mask_edge,0.7,0.655,0.608,0.5196374622356495,0.7813765182186235,0.7001966,0.6027228
