seed,model,mask_type,area_frac,accuracy,f1_Immune,f1_Stromal,f1_Tumour,conf_correct,conf_wrong
44,vit_small_patch16_224,edge,0.05,0.7066666666666667,0.5961538461538461,0.6681514476614699,0.8246013667425968,0.8046285,0.7094562
44,vit_small_patch16_224,edge,0.1,0.7066666666666667,0.610062893081761,0.6621004566210046,0.8198198198198198,0.8188964,0.7228612
44,vit_small_patch16_224,edge,0.15,0.7083333333333334,0.6238532110091743,0.6588785046728972,0.8179775280898877,0.8288357,0.73232055
44,vit_small_patch16_224,edge,0.2,0.7066666666666667,0.6257668711656442,0.6542056074766355,0.8161434977578476,0.8336095,0.73376465
44,vit_small_patch16_224,edge,0.3,0.69,0.5901639344262295,0.6579520697167756,0.7935779816513762,0.8174844,0.72267693
44,vit_small_patch16_224,edge,0.4,0.7,0.6222222222222222,0.6651884700665188,0.7926267281105991,0.8209909,0.73538834
44,vit_small_patch16_224,edge,0.5,0.6883333333333334,0.6,0.6540084388185654,0.7932692307692307,0.77535856,0.6760994
44,vit_small_patch16_224,edge,0.6,0.6683333333333333,0.5723684210526315,0.6408163265306123,0.7733990147783252,0.75985545,0.66312057
44,vit_small_patch16_224,edge,0.7,0.6133333333333333,0.5195729537366548,0.6236933797909407,0.672463768115942,0.6590402,0.61471677
45,resnet50,centre,0.0,0.695,0.6271186440677966,0.6347607052896725,0.8017817371937639,0.6643435,0.5739796
45,resnet50,centre,0.05,0.335,0.0,0.009950248756218905,0.5006257822277848,0.7840152,0.6407601
45,resnet50,centre,0.1,0.3333333333333333,0.0,0.0,0.5,0.92582965,0.8909327
45,resnet50,centre,0.15,0.3333333333333333,0.0,0.0,0.5,0.9572871,0.94934815
45,resnet50,centre,0.2,0.3333333333333333,0.0,0.0,0.5,0.9924951,0.99156845
45,resnet50,centre,0.3,0.3333333333333333,0.0,0.0,0.5,0.9997768,0.99976593
45,resnet50,centre,0.4,0.3333333333333333,0.0,0.0,0.5,0.998484,0.998492
45,resnet50,centre,0.5,0.3333333333333333,0.0,0.0,0.5,0.9999783,0.9999784
45,resnet50,centre,0.6,0.3333333333333333,0.0,0.0,0.5,0.9999986,0.9999987
45,resnet50,centre,0.7,0.3333333333333333,0.0,0.0,0.5,1.0,1.0
45,resnet50,edge,0.0,0.695,0.6271186440677966,0.6347607052896725,0.8017817371937639,0.6643435,0.5739796
45,resnet50,edge,0.05,0.7,0.6402266288951841,0.6365914786967418,0.8035714285714286,0.6470721,0.5631439
45,resnet50,edge,0.1,0.6916666666666667,0.6363636363636364,0.6388206388206388,0.7845804988662132,0.63260716,0.54412484
45,resnet50,edge,0.15,0.6833333333333333,0.6233062330623306,0.63,0.7842227378190255,0.61759055,0.527829
45,resnet50,edge,0.2,0.6783333333333333,0.6324324324324324,0.6106870229007634,0.7780320366132724,0.6122099,0.5205866
45,resnet50,edge,0.3,0.3333333333333333,0.0,0.0,0.5,0.7032027,0.57428014
45,resnet50,edge,0.4,0.3333333333333333,0.0,0.0,0.5,0.8492755,0.813295
45,resnet50,edge,0.5,0.3333333333333333,0.0,0.0,0.5,0.91945577,0.909575
45,resnet50,edge,0.6,0.3333333333333333,0.0,0.0,0.5,0.99778944,0.99752516
45,resnet50,edge,0.7,0.3333333333333333,0.0,0.0,0.5,0.99966776,0.9996495
45,vit_small_patch16_224,centre,0.0,0.6833333333333333,0.6284153005464481,0.6124401913875598,0.8028846153846154,0.68630624,0.59886956
45,vit_small_patch16_224,centre,0.05,0.6683333333333333,0.6201117318435754,0.6114942528735632,0.7714987714987716,0.693262,0.59165424
45,vit_small_patch16_224,centre,0.1,0.66,0.6096866096866097,0.6031746031746031,0.7647058823529411,0.7037025,0.59334517
45,vit_small_patch16_224,centre,0.15,0.6583333333333333,0.5898876404494382,0.6074766355140186,0.7692307692307693,0.69555867,0.6002636
45,vit_small_patch16_224,centre,0.2,0.6616666666666666,0.6005665722379604,0.6118721461187214,0.7677261613691931,0.6962779,0.60582113
45,vit_small_patch16_224,centre,0.3,0.655,0.5722543352601156,0.6041189931350115,0.7769784172661871,0.6881537,0.60710716
45,vit_small_patch16_224,centre,0.4,0.6183333333333333,0.5082508250825083,0.6108949416342413,0.7154046997389034,0.66926473,0.61884
45,vit_small_patch16_224,centre,0.5,0.61,0.5382262996941896,0.584,0.707774798927614,0.6548582,0.58765
