seed,model,mask_type,area_frac,accuracy,f1_Immune,f1_Stromal,f1_Tumour,conf_correct,conf_wrong
46,vit_small_patch16_224,centre,0.0,0.6933333333333334,0.5625,0.6407322654462243,0.8397291196388262,0.7261941,0.62352175
46,vit_small_patch16_224,centre,0.05,0.69,0.5705329153605015,0.6383928571428571,0.8314087759815243,0.7152968,0.6220413
46,vit_small_patch16_224,centre,0.1,0.68,0.5825825825825826,0.6178489702517163,0.8186046511627907,0.70456994,0.60044646
46,vit_small_patch16_224,centre,0.15,0.6916666666666667,0.5843373493975904,0.6415929203539823,0.8317307692307693,0.70445067,0.6148138
46,vit_small_patch16_224,centre,0.2,0.6683333333333333,0.5558912386706949,0.6208425720620843,0.8086124401913876,0.70550174,0.59762543
46,vit_small_patch16_224,centre,0.3,0.6766666666666666,0.5868263473053892,0.6297872340425532,0.8080808080808081,0.6991672,0.61427855
46,vit_small_patch16_224,centre,0.4,0.6616666666666666,0.5845272206303725,0.6206896551724138,0.7803617571059431,0.6724022,0.5880257
46,vit_small_patch16_224,centre,0.5,0.64,0.5738636363636364,0.6021052631578947,0.7506702412868632,0.6837914,0.5968562
46,vit_small_patch16_224,centre,0.6,0.585,0.5714285714285714,0.5590551181102362,0.6402439024390244,0.65058535,0.56778264
46,vit_small_patch16_224,centre,0.7,0.5116666666666667,0.5352941176470588,0.5362563237774031,0.42696629213483145,0.653631,0.57773703
46,vit_small_patch16_224,edge,0.0,0.6933333333333334,0.5625,0.6407322654462243,0.8397291196388262,0.7261941,0.62352175
46,vit_small_patch16_224,edge,0.05,0.69,0.5820433436532507,0.6357615894039735,0.8301886792452831,0.69976157,0.6082684
46,vit_small_patch16_224,edge,0.1,0.7,0.6135693215339233,0.6332574031890661,0.8388625592417062,0.70025676,0.60976607
46,vit_small_patch16_224,edge,0.15,0.7033333333333334,0.6228571428571429,0.6308411214953271,0.8436018957345972,0.70698994,0.6126187
46,vit_small_patch16_224,edge,0.2,0.705,0.6449864498644986,0.6195121951219512,0.8408551068883611,0.7146376,0.619439
46,vit_small_patch16_224,edge,0.3,0.6866666666666666,0.6128133704735376,0.6095238095238096,0.8266033254156769,0.713211,0.61581516
46,vit_small_patch16_224,edge,0.4,0.6933333333333334,0.6321525885558583,0.6135265700483091,0.8257756563245824,0.7185474,0.6295208
46,vit_small_patch16_224,edge,0.5,0.6816666666666666,0.6208791208791209,0.6033254156769596,0.8144578313253013,0.71786773,0.622312
46,vit_small_patch16_224,edge,0.6,0.66,0.5875706214689266,0.5981735159817352,0.7892156862745098,0.7163873,0.60909146
46,vit_small_patch16_224,edge,0.7,0.6516666666666666,0.5764705882352941,0.5911111111111111,0.7804878048780488,0.6846237,0.6082574
